Date,Cost,Open,High,Low,Vol.,Change %
01/11/2017,20.305,20.305,20.305,20.305,,11.05%
01/12/2017,19.62,19.62,19.62,19.62,,-3.37%
01/01/2018,17.88,17.88,17.88,17.88,,-8.87%
01/02/2018,17.35,17.35,17.35,17.35,,-2.96%
01/03/2018,18.225,18.225,18.225,18.225,0.18K,5.04%
01/04/2018,20.56,19.52,19.835,19.52,0.07K,12.81%
01/05/2018,22.58,21.135,22.26,20.84,0.09K,9.82%
01/06/2018,21.875,21.63,21.63,21.63,0.04K,-3.12%
01/07/2018,22.115,22.3,22.3,22.3,0.02K,1.10%
01/08/2018,25.835,22,26.025,22,0.22K,16.82%
01/09/2018,27.33,26.965,29.56,26.655,0.94K,5.79%
01/10/2018,24.335,26.735,27.86,25.625,0.12K,-10.96%
01/11/2018,24.69,23.975,26.725,23.625,0.59K,1.46%
01/12/2018,21.98,24.395,24.79,22.18,0.76K,-10.98%
01/01/2019,19.85,22.28,23.135,19.665,0.74K,-9.69%
01/02/2019,17.815,19.075,19.185,17,0.91K,-10.25%
01/03/2019,14.215,17.375,17.5,14.175,4.39K,-20.21%
01/04/2019,14.39,13.7,16.95,13.7,0.38K,1.23%
01/05/2019,11.205,14.1,14.35,12.415,0.12K,-22.13%
01/06/2019,10.115,11.32,11.65,9.75,0.43K,-9.73%
01/07/2019,11,10.57,13.725,9.725,7.29K,8.75%
01/08/2019,12.795,11.675,12.655,10.15,5.74K,16.32%
01/09/2019,16.39,11.95,16.69,11.675,2.93K,28.10%
01/10/2019,16.135,16.25,16.725,13.625,6.31K,-1.56%
01/11/2019,16.33,16.35,16.905,15.15,8.73K,1.21%
01/12/2019,12.05,15.955,16,12.61,5.33K,-26.21%
01/01/2020,9.755,12.435,12.75,9.93,6.67K,-19.05%
01/02/2020,8.875,9.6,9.6,8.5,3.43K,-9.02%
01/03/2020,6.9,9,9.635,7.1,12.72K,-22.25%
01/04/2020,6.22,6.725,7.525,5.8,5.42K,-9.86%
01/05/2020,4.385,6.2,6.2,3.5,6.95K,-29.50%
01/06/2020,6.165,4.1,6.455,3.95,9.53K,40.59%
01/07/2020,6.025,5.95,6.315,4.71,7.83K,-2.27%
01/08/2020,11.24,6.33,11.175,6.33,4.95K,86.56%
01/09/2020,13.285,11.2,13.31,10.37,3.90K,18.19%
01/10/2020,14.06,13.35,15.65,12.815,7.63K,5.83%
01/11/2020,15.14,13.515,15.2,12.6,7.16K,7.68%
01/12/2020,19.125,15.475,19.275,14,4.83K,26.32%
01/01/2021,19.82,19.45,26.085,17.375,10.62K,3.63%
01/02/2021,15.695,19.05,20.375,15.55,13.96K,-20.81%
01/03/2021,18.995,16,19.17,15.5,20.88K,21.03%
01/04/2021,23.285,19,23.32,18.9,17.84K,22.58%
01/05/2021,24.93,24.105,26.915,22.57,16.71K,7.06%
01/06/2021,34.62,25.18,34.925,25.18,16.21K,38.87%
01/07/2021,40.755,35.5,40.88,31.47,14.68K,17.72%
01/08/2021,50.34,42.1,50.47,40.1,14.86K,23.52%
01/09/2021,97.775,52.25,96.3,49.6,16.82K,94.23%
01/10/2021,64.865,94.665,132.93,70,2.71K,-33.66%
01/11/2021,92.515,63.59,99.85,62.84,1.08K,42.63%
01/12/2021,70.345,92.6,176.655,67.365,6.85K,-23.96%
01/01/2022,84.67,85,97.02,71,1.84K,20.36%
01/02/2022,98.595,78.3,135,68.515,3.24K,16.45%
01/03/2022,125.905,103.665,148,97.6,0.97K,27.70%
01/04/2022,99.45,114.75,114.75,96.75,0.04K,-21.01%
01/05/2022,94.005,96.315,96.475,84.84,0.12K,-5.48%
01/06/2022,144.515,83.005,83.005,80.41,0.03K,53.73%
01/07/2022,190.915,190.915,190.915,190.915,,32.11%
01/08/2022,239.905,239.905,239.905,239.905,,25.66%
01/09/2022,188.8,188.8,188.8,188.8,0.01K,-21.30%
01/10/2022,99.17,99.17,99.17,99.17,,-47.47%
